tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-404,Indian Wells Masters,Hard,96,M,O,20260304,1,U182,,,Camilo Ugo Carabelli,R,185,ARG,26.713,67,790,D0DT,,,Martin Damm,L,203,USA,23.09,129,477,7-6(5) 6-3,3,R128,110,8,5,83,50,42,17,11,5,5,9,2,70,43,31,16,10,4,5
2026-404,Indian Wells Masters,Hard,96,M,O,20260304,2,W09E,,,Adam Walton,R,183,AUS,26.88,91,650,HB64,,,Quentin Halys,R,191,FRA,29.352,102,600,6-3 6-3,3,R128,77,12,1,64,42,34,9,9,5,5,7,1,45,25,19,10,9,1,4
2026-404,Indian Wells Masters,Hard,96,M,O,20260304,3,O522,,,Reilly Opelka,R,211,USA,28.517,68,786,Q02L,,,Ethan Quinn,R,191,USA,21.979,73,761,7-5 7-6(3),3,R128,101,17,6,67,46,39,13,12,4,5,5,3,85,53,38,14,12,5,7
2026-404,Indian Wells Masters,Hard,96,M,O,20260304,4,BU13,,,Zizou Bergs,R,185,BEL,26.754,47,1030,SL28,,,Jan-Lennard Struff,R,193,GER,35.86,80,719,6-3 6-4,3,R128,73,5,2,53,31,27,14,10,0,0,5,4,64,39,31,10,9,8,10
2026-404,Indian Wells Masters,Hard,96,M,O,20260304,5,GC88,,,Marcos Giron,R,180,USA,32.613,69,780,N0BS,,,Mariano Navone,R,178,ARG,25.016,79,725,4-6 7-5 6-3,3,R128,140,5,2,86,61,44,13,15,3,6,4,5,93,69,49,7,16,6,11
2026-404,Indian Wells Masters,Hard,96,M,O,20260304,6,KI95,,,Miomir Kecmanovic,R,183,SRB,26.511,58,875,AE14,,,Daniel Altmaier,R,188,GER,27.477,55,921,6-3 1-0 RET,3,R128,61,7,2,32,18,16,8,5,0,0,6,2,51,33,19,8,5,4,6
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,7,B0CD,,,Jenson Brooksby,R,193,USA,25.355,41,1135,P09Z,,,Alexei Popyrin,R,196,AUS,26.582,45,1050,6-3 6-4,3,R128,91,2,1,62,47,34,11,10,2,2,8,0,64,47,30,8,9,3,5
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,8,D0F6,,,Gabriel Diallo,R,203,CAN,24.444,38,1175,B0GG,,,Mattia Bellucci,L,175,ITA,24.758,94,640,7-6(5) 6-4,3,R128,133,10,1,75,50,38,15,11,1,1,8,2,83,53,38,16,11,6,7
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,9,F724,,,Marton Fucsovics,R,188,HUN,34.07,56,916,O483,,,Christopher O'Connell,R,183,AUS,31.754,127,493,7-5 6-3,3,R128,90,5,0,54,40,33,9,11,0,1,5,1,67,36,24,15,10,1,4
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,10,S0GD,,,Dalibor Svrcina,R,178,CZE,23.422,109,569,D994,,,James Duckworth,R,183,AUS,34.119,83,691,6-2 6-4,3,R128,91,3,5,67,41,34,11,9,7,7,4,0,64,39,24,13,9,8,11
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,11,MC65,,,Gael Monfils,R,193,FRA,39.507,148,410,GK06,,,Alexis Galarneau,R,180,CAN,27.009,219,265,6-3 6-4,3,R128,82,6,1,62,44,32,9,10,2,4,1,6,60,35,19,11,9,4,8
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,12,BK40,,,Matteo Berrettini,R,196,ITA,29.895,66,820,ME82,,,Adrian Mannarino,L,180,FRA,37.681,48,1025,4-6 7-5 7-5,3,R128,168,14,3,100,69,51,16,17,7,10,6,2,113,73,51,18,17,5,9
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,13,P0HW,,,Dino Prizmic,R,188,CRO,20.58,119,541,S0N0,,,Tristan Schoolkate,R,183,AUS,25.018,118,547,7-6(5) 3-6 7-5,3,R128,150,7,4,93,51,42,27,16,1,2,16,1,96,63,55,18,17,4,5
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,14,F0FV,,,Joao Fonseca,R,188,BRA,19.537,35,1240,C0JP,,,Raphael Collignon,R,191,BEL,24.14,77,733,7-6(2) 6-4,3,R128,102,3,0,64,46,34,13,11,0,1,5,4,77,50,34,12,11,5,7
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,15,S0K7,,,Zachary Svajda,R,175,USA,23.264,99,614,C977,,,Marin Cilic,R,198,CRO,37.432,51,990,7-6(5) 6-4,3,R128,106,5,1,78,47,40,15,11,5,6,17,1,67,43,38,8,11,3,5
2026-404,Indian Wells Masters,Hard,96,M,O,20260305,16,SU55,,,Denis Shapovalov,L,185,CAN,26.888,39,1160,TE51,,,Stefanos Tsitsipas,R,193,GRE,27.562,43,1085,6-2 3-6 6-4,3,R128,106,3,2,67,45,35,12,13,1,3,0,3,84,49,33,16,14,6,10
