tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-540,Wimbledon,Grass,128,G,O,20260629,1,F724,,,Marton Fucsovics,R,188,HUN,34.387,76,781,V0DZ,,,Luca Van Assche,R,178,FRA,22.133,80,735,6-3 4-0 RET,5,R128,58,1,1,38,23,16,7,6,0,1,2,2,42,27,11,6,7,0,5
2026-540,Wimbledon,Grass,128,G,O,20260629,2,J0DZ,23,,Rafael Jodar,R,191,ESP,19.781,26,1839,G0EU,,WC,Felix Gill,L,175,GBR,24.077,220,260,6-3 6-3 7-5,5,R128,118,7,2,72,42,35,22,15,1,2,8,2,104,72,44,14,15,6,11
2026-540,Wimbledon,Grass,128,G,O,20260629,3,B0CD,,,Jenson Brooksby,R,193,USA,25.673,81,720,V832,,,Aleksandar Vukic,R,188,AUS,30.229,104,614,7-6(7) 6-1 6-1,5,R128,116,7,0,67,48,42,16,13,0,0,4,3,91,55,34,18,13,5,10
2026-540,Wimbledon,Grass,128,G,O,20260629,4,CD85,,,Pablo Carreno Busta,R,188,ESP,34.965,71,834,SU55,,,Denis Shapovalov,L,185,CAN,27.206,41,1130,6-3 7-6(7) RET,5,R128,114,1,3,97,72,49,15,11,9,9,14,4,72,38,27,21,10,5,6
2026-540,Wimbledon,Grass,128,G,O,20260629,5,M0HU,,Q,Shintaro Mochizuki,R,175,JPN,23.075,151,397,B0JE,,Q,Max Basing,R,180,GBR,23.74,329,162,6-3 6-0 6-0,5,R128,104,3,0,66,36,26,17,10,5,6,0,3,85,58,27,7,11,12,21
2026-540,Wimbledon,Grass,128,G,O,20260629,6,T0HA,16,,Learner Tien,L,180,USA,20.572,17,2270,S0GD,,,Dalibor Svrcina,R,178,CZE,23.74,112,550,6-1 6-4 6-7(4) 6-3,5,R128,179,11,4,164,120,78,17,21,16,20,5,5,124,72,41,25,19,6,14
2026-540,Wimbledon,Grass,128,G,O,20260629,7,PL56,21,,Tommy Paul,R,185,USA,29.117,25,1925,MP20,,,Alexandre Muller,R,183,FRA,29.405,126,494,6-1 6-2 6-1,5,R128,72,12,1,58,40,34,12,11,0,0,1,3,81,67,31,5,11,9,16
2026-540,Wimbledon,Grass,128,G,O,20260629,8,B0ID,31,,Ignacio Buse,R,183,PER,22.261,34,1375,N0AM,,,Emilio Nava,R,185,USA,24.572,86,704,7-6(3) 3-6 7-5 6-0,5,R128,166,1,2,115,91,69,12,20,6,9,11,4,126,79,55,20,20,3,9
2026-540,Wimbledon,Grass,128,G,O,20260629,9,V812,,,Botic van de Zandschulp,R,191,NED,30.735,54,969,K0AZ,,,Aleksandar Kovacevic,R,183,USA,27.833,70,837,6-3 6-7(2) 6-4 6-0,5,R128,167,19,5,119,66,53,30,19,7,8,13,7,116,72,55,15,19,6,12
2026-540,Wimbledon,Grass,128,G,O,20260629,10,D0DT,,,Martin Damm,L,203,USA,,106,603,TA29,,,Marco Trungelliti,R,178,ARG,36.408,94,670,7-6(5) 6-7(5) 7-6(2) 7-6(5),5,R128,219,28,5,171,112,90,29,24,10,11,13,10,167,102,83,31,24,8,9
2026-540,Wimbledon,Grass,128,G,O,20260629,11,M0N7,,,Daniel Merida,R,188,ESP,21.755,84,706,U182,,,Camilo Ugo Carabelli,R,185,ARG,27.034,59,930,4-6 3-6 6-2 3-0 RET,5,R128,129,13,5,89,65,43,10,15,6,11,3,6,103,53,34,21,15,9,15
2026-540,Wimbledon,Grass,128,G,O,20260629,12,SX50,,Q,Roman Safiullin,R,185,RUS,28.893,132,458,RE44,12,,Andrey Rublev,R,188,RUS,28.69,13,2420,6-4 6-7(6) 3-6 6-3 7-6(12),5,R128,237,10,3,154,124,98,16,26,4,6,22,8,192,162,112,14,27,10,13
2026-540,Wimbledon,Grass,128,G,O,20260629,13,HB71,,,Hubert Hurkacz,R,196,POL,29.377,96,665,RH16,11,,Casper Ruud,R,183,NOR,27.518,12,2425,6-4 6-2 7-6(7),5,R128,121,15,3,92,56,46,19,16,1,2,10,6,101,68,50,11,15,12,16
2026-540,Wimbledon,Grass,128,G,O,20260629,14,BT72,,,Nuno Borges,R,185,POR,29.355,48,1020,B0EJ,,Q,Tristan Boyer,R,188,USA,25.188,191,302,6-3 7-5 7-5,5,R128,124,9,4,107,65,52,22,17,5,6,9,7,109,72,48,17,16,9,13
2026-540,Wimbledon,Grass,128,G,O,20260629,15,O513,,,Sebastian Ofner,R,191,AUT,30.13,110,557,M0JF,,,Hamad Medjedovic,R,188,SRB,22.949,68,844,1-6 6-2 4-6 6-3 6-4,5,R128,173,30,4,136,80,59,29,22,6,10,13,12,169,111,75,23,22,16,21
2026-540,Wimbledon,Grass,128,G,O,20260629,16,F0FV,24,,Joao Fonseca,R,188,BRA,19.855,27,1710,BD06,,,Roberto Bautista Agut,R,183,ESP,38.207,183,318,7-6(4) 6-4 6-3,5,R128,146,14,2,113,84,55,20,16,4,5,8,4,100,74,53,9,15,8,11
2026-540,Wimbledon,Grass,128,G,O,20260629,17,S0AG,1,,Jannik Sinner,R,191,ITA,24.868,1,13450,KI95,,,Miomir Kecmanovic,R,183,SRB,26.828,50,1020,4-6 6-3 6-7(6) 6-2 6-3,5,R128,209,31,5,138,91,81,25,25,3,4,1,5,148,101,72,25,23,5,9
2026-540,Wimbledon,Grass,128,G,O,20260629,18,Q02L,,,Ethan Quinn,R,191,USA,22.297,47,1021,D0FJ,14,,Luciano Darderi,R,183,ITA,24.37,16,2300,7-6(7) 7-5 6-2,5,R128,137,16,3,100,95,72,1,16,5,6,7,4,124,113,69,5,16,10,14
2026-540,Wimbledon,Grass,128,G,O,20260629,19,Z0BZ,,Q,Michael Zheng,R,188,USA,22.42,144,410,N771,26,,Cameron Norrie,L,188,GBR,30.85,29,1595,6-7(7) 6-2 6-7(2) 6-3 7-6(4),5,R128,240,21,4,180,115,89,35,27,5,6,6,10,188,134,90,28,26,9,13
2026-540,Wimbledon,Grass,128,G,O,20260629,20,TE51,,,Stefanos Tsitsipas,R,193,GRE,27.88,87,700,G09O,,Q,Hugo Gaston,L,173,FRA,25.755,118,533,6-1 6-4 6-2,5,R128,89,8,1,67,51,41,11,13,0,0,5,2,89,78,47,2,12,10,15
2026-540,Wimbledon,Grass,128,G,O,20260629,21,MM58,8,,Daniil Medvedev,R,198,RUS,30.379,9,3580,C977,,,Marin Cilic,R,198,CRO,37.749,62,911,6-1 6-2 6-4,5,R128,111,16,5,79,56,40,11,12,3,4,2,4,81,53,31,9,13,1,8
2026-540,Wimbledon,Grass,128,G,O,20260629,22,RC91,25,,Arthur Rinderknech,R,196,FRA,30.935,28,1683,T0GR,,Q,Oliver Tarvet,R,185,GBR,22.667,348,147,7-6(4) 7-6(4) 4-6 7-5,5,R128,245,32,4,147,95,79,30,23,8,9,16,4,140,80,65,35,23,5,6
2026-540,Wimbledon,Grass,128,G,O,20260629,23,KF17,,Q,Soonwoo Kwon,R,180,KOR,28.572,200,280,L0IL,,,Martin Landaluce,R,193,ESP,20.471,60,926,6-4 6-3 6-3,5,R128,141,9,5,92,37,30,33,15,6,7,7,8,102,64,38,19,13,10,15
2026-540,Wimbledon,Grass,128,G,O,20260629,24,M0CI,,,Fabian Marozsan,R,193,HUN,26.724,53,970,T0A1,,,Thiago Agustin Tirante,R,185,ARG,25.218,55,961,7-5 6-3 6-4,5,R128,131,6,2,103,81,60,13,16,5,5,9,4,110,61,43,23,15,5,8
2026-540,Wimbledon,Grass,128,G,O,20260629,25,P0HW,,,Dino Prizmic,R,188,CRO,20.898,89,691,W09E,,,Adam Walton,R,183,AUS,27.201,85,704,4-6 7-6(3) 6-4 6-2,5,R128,188,9,4,139,95,67,24,20,11,13,4,0,113,73,52,24,20,2,6
2026-540,Wimbledon,Grass,128,G,O,20260629,26,SL28,,,Jan-Lennard Struff,R,193,GER,36.178,74,804,B0BI,,,Sebastian Baez,R,170,ARG,25.5,57,935,6-1 7-6(4) 4-6 2-6 7-5,5,R128,177,20,8,158,100,80,26,25,7,11,4,2,143,110,79,15,24,5,9
2026-540,Wimbledon,Grass,128,G,O,20260629,27,AG37,3,,Felix Auger-Aliassime,R,193,CAN,25.889,29,1680,S0H2,,,Alexander Shevchenko,R,188,KAZ,25.580,99,658,6-3 6-1 6-4,5,R128,94,15,1,70,57,46,6,13,0,0,2,1,83,59,35,12,13,4,9
