tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-421,Canada Masters,Hard,96,1000,O,20260802,1,MU94,,,Jaume Munar,R,183,ESP,29.243,43,1050,H0BH,,,Rinky Hijikata,R,178,AUS,25.437,93,677,7-6(3) 6-3,3,R128,221,4,2,73,48,33,12,11,6,9,2,2,57,34,22,9,10,1,5
2026-421,Canada Masters,Hard,96,1000,O,20260802,2,S0RE,,PR,Juncheng Shang,L,180,CHN,21.495,270,205,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,22.261,65,918,6-3 6-3,3,R128,81,1,2,42,27,22,11,9,0,1,4,5,73,35,23,16,9,3,7
2026-421,Canada Masters,Hard,96,1000,O,20260804,3,KI82,,,Vit Kopriva,R,178,CZE,29.136,125,478,GK06,,WC,Alexis Galarneau,R,180,CAN,27.425,200,288,6-4 6-4,3,R128,104,2,4,63,38,28,11,10,2,4,2,4,67,31,17,20,10,6,10
2026-421,Canada Masters,Hard,96,1000,O,20260804,4,D994,,,James Duckworth,R,183,AUS,34.535,94,624,O483,,Q,Christopher O'Connell,R,183,AUS,32.17,64,795,6-3 6-1,3,R128,72,6,3,49,28,23,13,8,5,5,3,1,48,24,15,10,8,3,7
2026-421,Canada Masters,Hard,96,1000,O,20260804,5,D0DW,,Q,Titouan Droguet,R,191,FRA,25.136,185,314,V0DZ,,,Luca Van Assche,R,178,FRA,22.231,129,471,6-4 2-6 7-6(7),3,R128,182,9,4,102,61,43,21,15,1,5,3,6,108,71,50,16,15,6,9
2026-421,Canada Masters,Hard,96,1000,O,20260804,6,M0AW,,Q,Nicolas Mejia,R,183,COL,26.478,223,260,L0IL,,,Martin Landaluce,R,193,ESP,20.569,143,414,4-6 6-4 6-3,3,R128,158,1,3,83,45,32,20,15,2,5,6,10,99,51,37,21,14,12,16
2026-421,Canada Masters,Hard,96,1000,O,20260804,7,N0BS,,,Mariano Navone,R,178,ARG,25.432,46,1148,BK40,,,Matteo Berrettini,R,196,ITA,30.311,35,1380,6-3 6-7(5) 6-3,3,R128,183,1,2,125,87,58,22,16,11,12,4,2,85,55,39,17,14,2,5
2026-421,Canada Masters,Hard,96,1000,O,20260804,8,BT72,,,Nuno Borges,R,185,POR,29.454,36,1370,K0AZ,,,Aleksandar Kovacevic,R,183,USA,27.932,108,547,6-7(7) 6-2 6-4,3,R128,147,16,4,93,63,49,18,15,4,5,4,7,105,50,37,26,15,4,8
2026-421,Canada Masters,Hard,96,1000,O,20260804,9,H997,,,Yannick Hanfmann,R,193,GER,34.724,98,615,BM95,,Q,Benjamin Bonzi,R,183,FRA,30.152,70,762,6-1 4-6 6-2,3,R128,120,7,2,87,47,29,25,13,5,8,9,8,86,57,33,10,12,3,9
2026-421,Canada Masters,Hard,96,1000,O,20260804,10,KI95,,,Miomir Kecmanovic,R,183,SRB,26.927,55,1021,Z0BZ,,Q,Michael Zheng,R,188,USA,22.519,754,32,6-4 4-6 7-6(5),3,R128,166,5,8,128,80,54,20,16,11,15,7,6,110,67,48,19,16,4,8
2026-421,Canada Masters,Hard,96,1000,O,20260804,11,M0QI,,,Alex Michelsen,R,193,USA,21.941,41,1245,SL28,,,Jan-Lennard Struff,R,193,GER,36.277,42,1225,6-1 3-6 6-1,3,R128,86,4,3,68,43,34,14,12,0,1,6,1,61,35,23,12,11,2,6
2026-421,Canada Masters,Hard,96,1000,O,20260804,12,C977,,,Marin Cilic,R,198,CRO,37.848,182,323,SY67,,Q,Sho Shimabukuro,R,180,JPN,29.013,194,303,7-6(2) 6-1,3,R128,92,2,2,58,30,24,20,9,4,4,6,0,59,33,23,12,10,1,4
2026-421,Canada Masters,Hard,96,1000,O,20260804,13,D0F6,,WC,Gabriel Diallo,R,203,CAN,24.86,87,646,J0AZ,,Q,Kyrian Jacquet,R,175,FRA,25.232,270,197,6-7(1) 6-3 6-2,3,R128,125,5,2,87,57,44,18,15,0,0,2,4,83,45,33,19,14,2,5
2026-421,Canada Masters,Hard,96,1000,O,20260804,14,MW02,,,Corentin Moutet,L,180,FRA,27.294,69,772,F724,,,Marton Fucsovics,R,188,HUN,34.486,100,611,6-1 6-2,3,R128,65,2,0,37,22,17,12,7,1,1,1,8,46,21,13,8,8,3,8
