date_fetched,fetched_at,event_id,ts_start,tourney,surface,p1,p2,wu,wv,bookmaker_id,bookmaker_name,p1_odds,p2_odds,p1_opening,p2_opening
2026-04-09,2026-04-09T00:45:50Z,fiOl6dbT,1775725200,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Bergs Z.,Zverev A.,bergs-zizou,zverev-alexander,851,BetMGM.us,4.2,1.22,4.2,1.22
2026-04-09,2026-04-09T00:45:50Z,fiOl6dbT,1775725200,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Bergs Z.,Zverev A.,bergs-zizou,zverev-alexander,549,bet365.us,4.33,1.22,5.0,1.17
2026-04-09,2026-04-09T00:45:50Z,IT16OwEc,1775725200,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Berrettini M.,Fonseca J.,berrettini-matteo,fonseca-joao,851,BetMGM.us,2.18,1.65,2.1,1.7
2026-04-09,2026-04-09T00:45:50Z,IT16OwEc,1775725200,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Berrettini M.,Fonseca J.,berrettini-matteo,fonseca-joao,549,bet365.us,2.2,1.67,2.3,1.62
2026-04-09,2026-04-09T00:45:50Z,OGDj5a66,1775730600,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Auger-Aliassime F.,Ruud C.,auger-aliassime-felix,ruud-casper,851,BetMGM.us,2.2,1.65,1.98,1.8
2026-04-09,2026-04-09T00:45:50Z,OGDj5a66,1775730600,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Auger-Aliassime F.,Ruud C.,auger-aliassime-felix,ruud-casper,549,bet365.us,2.3,1.62,2.38,1.57
2026-04-09,2026-04-09T00:45:50Z,dIobv2R9,1775730600,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Machac T.,Sinner J.,machac-tomas,sinner-jannik,851,BetMGM.us,11.5,1.03,12.0,1.02
2026-04-09,2026-04-09T00:45:50Z,dIobv2R9,1775730600,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Machac T.,Sinner J.,machac-tomas,sinner-jannik,549,bet365.us,17.0,1.02,19.0,1.02
2026-04-09,2026-04-09T00:45:50Z,rsvdwpIk,1775736000,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Alcaraz C.,Etcheverry T. M.,alcaraz-garfia-carlos,etcheverry-tomas-martin,851,BetMGM.us,1.02,13.0,1.02,12.0
2026-04-09,2026-04-09T00:45:50Z,rsvdwpIk,1775736000,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Alcaraz C.,Etcheverry T. M.,alcaraz-garfia-carlos,etcheverry-tomas-martin,549,bet365.us,1.03,15.0,1.06,10.0
2026-04-09,2026-04-09T00:45:50Z,0EG3UjOc,1775736000,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Lehecka J.,Bublik A.,lehecka-jiri,bublik-alexander,851,BetMGM.us,1.8,1.98,1.8,1.98
2026-04-09,2026-04-09T00:45:50Z,0EG3UjOc,1775736000,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Lehecka J.,Bublik A.,lehecka-jiri,bublik-alexander,549,bet365.us,1.8,2.0,2.0,1.8
2026-04-09,2026-04-09T00:45:50Z,hCsZBPuC,1775741400,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Blockx A.,De Minaur A.,blockx-alexander,de-minaur-alex,549,bet365.us,3.5,1.3,3.4,1.33
2026-04-09,2026-04-09T00:45:50Z,hCsZBPuC,1775741400,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Blockx A.,De Minaur A.,blockx-alexander,de-minaur-alex,851,BetMGM.us,3.4,1.3,3.4,1.3
2026-04-09,2026-04-09T00:45:50Z,r9SUg0wA,1775741400,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Vacherot V.,Hurkacz H.,vacherot-valentin,hurkacz-hubert,851,BetMGM.us,1.65,2.2,1.65,2.2
2026-04-09,2026-04-09T00:45:50Z,r9SUg0wA,1775741400,"ATP - SINGLES: Monte Carlo (Monaco), clay",clay,Vacherot V.,Hurkacz H.,vacherot-valentin,hurkacz-hubert,549,bet365.us,1.67,2.2,1.62,2.3
2026-04-09,2026-04-09T00:45:50Z,4YJSI3IF,1775736000,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Kalinina A.,Vekic D.,kalinina-anhelina,vekic-donna,549,bet365.us,1.73,2.1,1.67,2.2
2026-04-09,2026-04-09T00:45:50Z,4YJSI3IF,1775736000,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Kalinina A.,Vekic D.,kalinina-anhelina,vekic-donna,851,BetMGM.us,1.72,2.1,1.72,2.1
2026-04-09,2026-04-09T00:45:50Z,xlortN15,1775743200,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Tagger L.,Samsonova L.,tagger-lilli,samsonova-liudmila,851,BetMGM.us,1.75,2.05,2.3,1.6
2026-04-09,2026-04-09T00:45:50Z,xlortN15,1775743200,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Tagger L.,Samsonova L.,tagger-lilli,samsonova-liudmila,549,bet365.us,1.8,2.0,2.3,1.62
2026-04-09,2026-04-09T00:45:50Z,URsh5bvm,1775750400,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Pliskova Ka.,Alexandrova E.,pliskova-karolina,alexandrova-ekaterina,549,bet365.us,3.5,1.3,3.75,1.29
2026-04-09,2026-04-09T00:45:50Z,URsh5bvm,1775750400,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Pliskova Ka.,Alexandrova E.,pliskova-karolina,alexandrova-ekaterina,851,BetMGM.us,3.2,1.34,3.6,1.28
2026-04-09,2026-04-09T00:45:50Z,x2IO0vGD,1775755800,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Korpatsch T.,Potapova A.,korpatsch-tamara,potapova-anastasia,549,bet365.us,2.5,1.53,2.5,1.53
2026-04-09,2026-04-09T00:45:50Z,x2IO0vGD,1775755800,"WTA - SINGLES: Linz (Austria), clay (indoor)",clay (indoor),Korpatsch T.,Potapova A.,korpatsch-tamara,potapova-anastasia,851,BetMGM.us,2.45,1.53,2.45,1.53
2026-05-02,2026-05-02T05:47:49Z,G2C8Zjae,1777734000,"WTA - SINGLES: Madrid (Spain), clay",clay,Andreeva M.,Kostyuk M.,andreeva-mirra,kostyuk-marta,549,bet365.us,1.67,2.2,1.67,2.2
2026-05-02,2026-05-02T05:47:49Z,G2C8Zjae,1777734000,"WTA - SINGLES: Madrid (Spain), clay",clay,Andreeva M.,Kostyuk M.,andreeva-mirra,kostyuk-marta,851,BetMGM.us,1.7,2.2,1.6,2.3
2026-05-03,2026-05-03T06:00:29Z,0zlEU12M,1777820400,"ATP - SINGLES: Madrid (Spain), clay",clay,Sinner J.,Zverev A.,sinner-jannik,zverev-alexander,851,BetMGM.us,1.18,5.25,1.22,4.4
2026-05-03,2026-05-03T06:00:29Z,0zlEU12M,1777820400,"ATP - SINGLES: Madrid (Spain), clay",clay,Sinner J.,Zverev A.,sinner-jannik,zverev-alexander,549,bet365.us,1.17,5.0,1.17,5.0
